id,label,link,organization_type,domains,activities,intervention_focuses,location_hints,focuses_on_gcbrs,category_trail,description,created_at,notion_url
85,"Broad Institute @ MIT, Harvard",https://www.broadinstitute.org,"Research institute / lab / network",Technical,Research,"Epidemiology ; Therapeutics ; Antimicrobial resistance ; Rapid diagnostics","USA ; Cambridge MA",no,Detection,"The Broad Institute is a biomedical and genomics research organization. It includes an Infectious Disease and Microbiome Program and a Genomic Center for Infectious Diseases.",2024-04-05T09:26:00+00:00,https://notion.so/c5dcc43131764677811d6c07d300d908
99,"Bulletin of the Atomic Scientists",https://thebulletin.org,Media,"Technical ; Governance","Outreach & Advocacy","Biological weapons ; Dual-use research of concern ; AI x Bio ; Synthetic biology","USA ; Chicago IL",no,"Transversal > Information","The Bulletin is an independent, nonprofit 501 (c) (3) organization. They gather a diverse array of the most informed and influential voices tracking man-made threats and bring their innovative thinking to a global audience. They apply intellectual rigor to the conversation and do not shrink from alarming truths.",2024-04-19T07:31:00+00:00,https://notion.so/e0dbecb5634f4186a7f21429145230e3
101,"Cambridge Biosecurity Hub",https://www.cambiohub.org,"Research institute / lab / network","Technical ; Governance","Research ; Education & Career","AI x Bio ; Dual-use research of concern","United Kingdom ; Cambridge",yes,Response,"The Cambridge Biosecurity Hub (CBH) is a team of researchers investigating the risks associated with rapidly developing biotechnologies. They work on concrete research projects that aim to make progress on either technical or policy issues within biosecurity. They co-organise the AIxBio Research Fellowship.",2024-04-19T07:36:00+00:00,https://notion.so/48bee78f44604e0cb83740975b9190e5
143,"Cavendish Labs",https://cavendishlabs.org,"Research institute / lab / network",Technical,Research,"Rapid diagnostics","USA ; Cavendish VT",yes,"Detection > Diagnostics","Cavendish Labs is a nonprofit research organization dedicated to solving the most important and neglected scientific problems of our age. This research community is focused primarily on AI safety and pandemic prevention.",2024-05-10T11:44:00+00:00,https://notion.so/99903e33d8964e1abe552edd04165413
65,CBWNet,https://cbwnet.org,"Research institute / lab / network",Governance,"Research ; Policy development","Biological weapons","Germany ; Europe (excl. UK)",no,"Prevention > Preventing production & release","Research project, carried out jointly by several organisations, which aims to identify options to comprehensively strengthen the norms against chemical and biological weapons (CBW).",2024-03-29T09:47:00+00:00,https://notion.so/e210e42011984faaa0e66f8616d11e0c
227,"Center for Global Health Science and Security (CGHSS) @ Georgetown University",https://ghss.georgetown.edu,"Research institute / lab / network","Technical ; Governance","Research ; Technology development ; Policy development",Epidemiology,"USA ; Washington DC",no,Detection,"The Center for Global Health Science and Security at Georgetown University develops evidence for action, providing decision makers with the tools they need for sustainable capacity building to prevent, detect and respond to public health emergencies.",2024-10-12T09:28:00+00:00,https://notion.so/6bcae050646d4b17a14fbd2c0884a3b8
222,"Center for Infectious Disease Research and Policy (CIDRAP) @ University of Minnesota",https://www.cidrap.umn.edu,"Research institute / lab / network","Technical ; Governance","Research ; Policy development","Vaccines ; Antimicrobial resistance ; Epidemiology ; Supply chain disruption","USA ; Minneapolis MN",no,Response,"The Center for Infectious Disease Research and Policy (CIDRAP) is a global leader in addressing public health preparedness and emerging infectious disease response.",2024-10-12T09:05:00+00:00,https://notion.so/c4d6a0f867b14d0692021577425711c8
103,"Center for Security and Emerging Technology (CSET)",https://cset.georgetown.edu,"Research institute / lab / network",Governance,"Research ; Policy development","Lab biosafety ; Dual-use research of concern ; Synthetic biology ; AI x Bio ; Antimicrobial resistance","USA ; Washington DC",yes,"Prevention > Preventing production & release","A policy research organization within Georgetown University’s Walsh School of Foreign Service, CSET provides decision-makers with data-driven analysis on the security implications of emerging technologies. CSET is currently focusing on the effects of progress in artificial intelligence (AI), advanced computing and biotechnology. They seek to prepare a new generation of decision-makers to address the challenges and opportunities of emerging technologies.",2024-04-19T07:39:00+00:00,https://notion.so/c20bf94024804bc6872168286b9c8827
232,"Centers for Disease Control and Prevention (CDC)",https://www.cdc.gov,Government,Governance,"Research ; Policy development ; Outreach & Advocacy ; Coordination","Pathogen surveillance ; Epidemiology","USA ; Atlanta GA",no,Detection,"The Centers for Disease Control and Prevention (CDC) is the national public health agency of the United States. Aiming to protect public health and safety through the control and prevention of disease, injury, and disability in the US and worldwide.",2024-10-16T05:23:00+00:00,https://notion.so/beeee37c24904bbe92b42e9d4a6cb338
0,"Centre for Future Generations (CFG)",https://cfg.eu,"Think tank",Governance,"Policy development","Biological weapons ; Lab biosafety ; Pathogen surveillance ; Supply chain disruption","Brussels ; Belgium ; Europe (excl. UK)",yes,"Response > Non-medical countermeasures","CFG is a Brussels-based think tank that focuses on enabling decision-makers to anticipate and govern the societal impacts of rapid technological change.",2024-03-01T10:02:00+00:00,https://notion.so/723c90d80998491dac22cf8288310e13
41,"Centre for Long-Term Resilience (CLTR)",https://www.longtermresilience.org,"Think tank",Governance,"Policy development ; Outreach & Advocacy","Dual-use research of concern ; Biological weapons ; Lab biosafety ; AI x Bio","United Kingdom ; London",yes,"Prevention > Preventing production & release","The Biosecurity Policy Unit at Centre for Longer-Term Resilience works closely with the UK Government and other stakeholders to reduce extreme biological risks.",2024-03-15T09:40:00+00:00,https://notion.so/354e78e7c3e4453ab0aa8566ec859e58
111,"Centre for the Study of Existential Risk (CSER)",https://www.cser.ac.uk,"Research institute / lab / network",Governance,Research,"Cyberbiosecurity ; Biological weapons","United Kingdom ; Cambridge",yes,Prevention,"CSER is an interdisciplinary research centre within the University of Cambridge dedicated to the study and mitigation of existential risks.",2024-04-19T08:05:00+00:00,https://notion.so/2c8fec048a9f4252b94b16b9fee1d635
139,"Coalition for Epidemic Preparedness Innovations (CEPI)",https://cepi.net,"International non-profit organization","Technical ; Governance","Coordination ; Funding",Vaccines,"Europe (excl. UK) ; United Kingdom ; USA ; Norway ; Oslo ; London ; Washington DC",no,Response,"CEPI is a global partnership working to accelerate the development of vaccines and other biologic countermeasures against epidemic and pandemic threats. In 2022, CEPI adopted a vision for the world to be able to respond to a pandemic threat with a new vaccine within 100 days.",2024-05-10T09:35:00+00:00,https://notion.so/04f317602488474d897d9bc634936972
70,"Coefficient Giving, Biosecurity & Pandemic Preparedness team",https://coefficientgiving.org/funds/biosecurity-pandemic-preparedness,"International non-profit organization","Technical ; Governance",Funding,"Pathogen surveillance ; Dual-use research of concern ; AI x Bio ; DNA synthesis ; Indoor air quality ; Personal protective equipment ; Vaccines ; Therapeutics ; Rapid diagnostics ; Synthetic biology","USA ; San Francisco CA",yes,"Transversal > Financing","Coefficient Giving’s Biosecurity & Pandemic Preparedness team (ex Open Philanthropy) supports efforts to strengthen disease surveillance, the governance of dual-use research, policy development, and other activities that could reduce the threat of a major global disruption.",2024-04-02T17:20:00+00:00,https://notion.so/83342347f4c1403999ef5fc20e0c430c
67,"Convergent Research",https://www.convergentresearch.org,"International non-profit organization",Technical,"Research ; Technology development ; Funding","Indoor air quality ; Synthetic biology ; Therapeutics ; Pathogen surveillance",USA,yes,"Transversal > Financing","Convergent Research launches Focused Research Organizations (FROs) to tackle large-scale, tightly coordinated, non-profit projects. Their biosecurity team is investigating FROs to reduce risks from pandemics, including projects on indoor air quality and metagenomic sequencing.",2024-04-02T15:20:00+00:00,https://notion.so/e264427457d5444e8cf4cd45104c882a
26,"Deloitte, incl. Gryphon Scientific",https://www2.deloitte.com/us/en/pages/about-deloitte/articles/press-releases/deloitte-acquires-gryphon-scientific-business-to-expand-security-science-and-public-health-capabilities.html,"For-profit company",Technical,"Technology development ; Policy development","Dual-use research of concern ; Biological weapons ; AI x Bio ; Lab biosafety ; Pathogen surveillance","Washington DC ; USA ; Global",no,"Prevention > Preventing production & release","Deloitte acquired Gryphon Scientific in 2024, saying: “Gryphon’s cadre of specialists will enhance Deloitte’s capability to address its clients’ most complex mission challenges, from informing safe policy and practice around novel technologies and AI to strengthening capacities to prevent, detect and respond to infectious disease threats across the globe.”",2024-03-01T13:33:00+00:00,https://notion.so/0b8da1ccce0248e5bb6a605b30987cfd
213,"Direction Générale de l’Armement, Maîtrise NRBC (DGA-NRBC)",https://www.defense.gouv.fr/dga/dga-maitrise-nrbc,Government,Technical,"Research ; Technology development ; Coordination","Biological weapons ; Pathogen surveillance","Paris ; France ; Europe (excl. UK)",no,"Transversal > Coordination","The Direction Générale de l'Armement (DGA) is a department of the French Ministry of Defence whose mission is to prepare the future of French defence systems, equip the French armed forces and promote exports by the French defence industry. DGA Maîtrise NRBC's expertise covers the knowledge, analysis and control of risks caused by radiological, biological and chemical (RBC) agents. The centre engineers and evaluates detection, protection and decontamination systems under conditions representative of operational situations, as part of the armament programmes and operations conducted by DGA's Operations Directorate.",2024-10-12T08:31:00+00:00,https://notion.so/11d4061a75b780438895e62b48494f79
115,"EA Long Term Future Fund (LTFF)",https://funds.effectivealtruism.org/funds/far-future,"International non-profit organization","Technical ; Governance",Funding,,"Global ; Remote",yes,"Transversal > Financing","The Long-Term Future Fund aims to positively influence the long-term trajectory of civilization by making grants that address global catastrophic risks, especially potential risks from advanced artificial intelligence and pandemics. In addition, we seek to promote, implement, and advocate for longtermist ideas, and to otherwise increase the likelihood that future generations will flourish.",2024-04-26T07:29:00+00:00,https://notion.so/c457f7c538304072b741c949a09c64ab
146,"Emerging Leaders in Biosecurity (ELBI) Fellowship",https://centerforhealthsecurity.org/education-training/emerging-leaders-in-biosecurity-fellowship,"National non-profit organization","Technical ; Governance","Education & Career",,"USA ; Washington DC",yes,"Transversal > Education","ELBI is a highly competitive, part-time program that provides an opportunity for talented graduate students and professionals to deepen their expertise, expand their network, and build their leadership skills through a series of events coordinated by the Johns Hopkins Center for Health Security.",2024-05-10T12:30:00+00:00,https://notion.so/e645afbf467e4f59ac1bdee9a524acd4
43,"Ergo Impact - Biosecurity Program",https://ergoimpact.org,"International non-profit organization","Technical ; Governance",Funding,,"Remote ; Europe (excl. UK) ; Netherlands ; Amsterdam",yes,"Transversal > Financing","Ergo Impact aims to find, fund, and scale the most promising people and solutions to the world’s most pressing problems. Their Biosecurity team has focused on researching areas to prioritize within biosecurity, refining the investigation and evaluation of grants, and working closely with grantees. Formerly known as Effective Giving.",2024-03-15T09:50:00+00:00,https://notion.so/ca5b37bbea954d55b5e4e02896e06eb6
199,"European Biosafety Association (EBSA)",https://www.ebsaweb.eu,"International non-profit organization",Governance,"Policy development ; Coordination ; Outreach & Advocacy","Dual-use research of concern ; Lab biosafety","Europe (excl. UK) ; United Kingdom",no,"Transversal > Coordination","The European BioSafety Association is there for all persons working in the fields of biosafety and biosecurity in all domains whether it be human, animal or plants. It aims to discuss and debate issues of concern and to represent those working in the field of biosafety and associated activities.",2024-08-22T11:56:00+00:00,https://notion.so/08e75f8a0f9248b48a5c8b6f9ed4625a
235,"European Centre for Disease Prevention and Control (ECDC)",https://www.ecdc.europa.eu,"Intergovernmental agency",Governance,"Research ; Policy development ; Outreach & Advocacy ; Coordination","Pathogen surveillance ; Epidemiology ; Crisis management","Europe (excl. UK) ; Sweden ; Stockholm",no,Detection,"The ECDC is an EU agency aimed at strengthening Europe's defences against infectious diseases.",2024-10-23T15:37:00+00:00,https://notion.so/69134d243dc34cc0b222a83b9c7d59ab
117,"European Molecular Biology Laboratory (EMBL)",https://www.embl.org,"Research institute / lab / network",Technical,Research,"Vaccines ; Therapeutics ; Rapid diagnostics ; Pathogen surveillance ; Antimicrobial resistance ; Synthetic biology","Europe (excl. UK) ; United Kingdom ; Israel ; France ; Spain ; Germany ; Italy ; Cambridge ; Heidelgerg ; Hamburg ; Grenoble ; Barcelona ; Rome",no,"Response > Medical countermeasures","EMBL was set up to promote molecular biology across Europe, and to create a centre of excellence for training Europe's leading young molecular biologists. To accomplish this, EMBL pursues five missions.",2024-04-26T07:39:00+00:00,https://notion.so/5f2f903fc11040289deb13dd6e1583c6
264,"Existential Risk Alliance (ERA)",https://erafellowship.org,"Research institute / lab / network",Technical,"Education & Career","AI x Bio","United Kingdom ; Cambridge",yes,Prevention,"ERA is a global network of researchers and entrepreneurs working to understand and reduce risks from frontier AI, by supporting top talent across AI governance, Technical AI Safety, Technical AI Governance and adjacent domains. They run the AIxBio Research Fellowship.",2025-12-28T16:00:00+00:00,https://notion.so/2d74061a75b780a2b57beccf47611ac6
116,"Existential Risk Laboratory (X-Lab) @ University of Chicago",https://xrisk.uchicago.edu,"Research institute / lab / network","Technical ; Governance","Research ; Outreach & Advocacy","AI x Bio ; Biological weapons ; Synthetic biology ; Lab biosafety","USA ; Chicago IL",yes,Prevention,"The UChicago Existential Risk Laboratory’s mission is to understand and mitigate existential and global catastrophic risks while training the next generation of scholars and policymakers. Their work is focused on preventing events that could result in hundreds of millions of deaths or permanently curtail civilization’s long-term potential.",2024-04-26T07:32:00+00:00,https://notion.so/7a14928445f84882bed8266d7118ee80
147,"Fellowship for Ending Bioweapons Programs",https://councilonstrategicrisks.org/fellowship-for-ending-bioweapons-programs,"National non-profit organization",Governance,"Education & Career","Biological weapons","USA ; Washington DC",yes,"Transversal > Education","The Fellowship for Ending Bioweapons Programs, hosted by the Council on Strategic Risks (CSR), is a one-year program, during which Fellows work with leading experts from CSR’s team and network to generate ideas for ending the threat of state biological weapons programs.  Together, the CSR team collaborates with the Fellows to explore wide-ranging ideas that governments, nonprofits, or other private organizations could pursue for addressing bioweapons threats.",2024-05-10T12:41:00+00:00,https://notion.so/b949e87c47474c718bdd8142be22de8b
86,"Francis Crick Institute",https://www.crick.ac.uk,"Research institute / lab / network",Technical,Research,"Antimicrobial resistance ; Epidemiology ; Therapeutics","United Kingdom ; London",no,"Response > Medical countermeasures","The Francis Crick Institute is a biomedical research institute working with organisations across academia, medicine and industry to make discoveries about how life works. Their interest groups include Infectious disease and Synthetic biology.",2024-04-05T09:51:00+00:00,https://notion.so/fa412ebde88e4ccebdb051a9c60c065a
125,"Future Matters",https://future-matters.org,"Think tank","Technical ; Governance","Policy development","Biological weapons","Europe (excl. UK) ; North America (excl. US) ; Remote ; USA ; United Kingdom ; Germany ; Belgium ; Berlin ; Pittsburgh PA ; London ; Brussels",no,"Prevention > Preventing production & release","Future Matters is a think tank and nonprofit strategy consultancy, helping you create change in three fields: · Climate protection: Mitigating emissions via policy in Germany, the EU, and internationally · AI safety: Reducing risks and assuring ethical development of powerful systems · Biosecurity: Preventing pandemics and regulating biological weapons.",2024-04-26T07:45:00+00:00,https://notion.so/1f6868970e0c40308098204cbccd5279
128,"Gavi, the Vaccine Alliance",https://www.gavi.org,"International non-profit organization",Governance,"Funding ; Coordination",Vaccines,"Global ; Europe (excl. UK) ; Switzerland ; Geneva",no,"Transversal > Coordination","Gavi, the Vaccine Alliance helps vaccinate more than half the world’s children against deadly and debilitating infectious diseases.",2024-04-26T07:50:00+00:00,https://notion.so/4ea7e7ef311a4e9e8b148e5b6c3b4225
73,"Ginkgo Biosecurity",https://biosecurity.ginkgo.bio,"For-profit company",Technical,"Technology development","Rapid diagnostics ; Pathogen surveillance ; Digital detection ; Epidemiology ; Antimicrobial resistance ; AI x Bio","USA ; Boston MA",yes,Detection,"Ginkgo Biosecurity, the biosecurity and public health unit of Ginkgo Bioworks, offers a global operating system for collection, detection, response, and risk analysis to enable an early warning of biological threats. They generate actionable intelligence and expert decision support for the national security and public health sectors.",2024-04-02T17:58:00+00:00,https://notion.so/a5ce39fe976248ed84e5cebe51bcaf7b
215,"Global Biolabs",https://www.globalbiolabs.org,Media,Governance,"Outreach & Advocacy ; Policy development","Lab biosafety","Global ; Remote",no,"Prevention > Preventing production & release","Globalbiolabs.org map provides details of BSL4 labs around the world and their policies and practices to ensure safe, secure and responsible pathogen research.",2024-10-12T08:40:00+00:00,https://notion.so/bb6c66269dd84a6eafbc4c1c2a2d2d8a
148,"Global Catastrophic Risk Institute (GCRI)",https://gcrinstitute.org,"Think tank",Governance,"Research ; Outreach & Advocacy","Dual-use research of concern ; Biological weapons ; Infohazard policies ; Crisis management",USA,yes,Prevention,"GCRI is a think tank that analyzes risks to the survival of human civilization. They mission is to develop the best ways to confront humanity’s gravest threats.",2024-05-24T07:14:00+00:00,https://notion.so/25d511bc376440429fb5aa44fd89d33d
265,"Global Center for Health Security (GCHS) @ University of Nebraska Medical Center",https://www.unmc.edu/healthsecurity,"Research institute / lab / network",Technical,"Research ; Technology development","Crisis management ; Therapeutics ; Lab biosafety","USA ; Omaha NE",no,"Response > Non-medical countermeasures","University-based center at the University of Nebraska Medical Center focused on preparedness and response to high-consequence infectious diseases. Operates the Nebraska Biocontainment Unit (which treated US Ebola patients in 2014) and the only federally-funded National Quarantine Unit, alongside an Emerging Pathogens Lab. Runs a $11M DoD-funded drug discovery and development pipeline.",2026-05-03T11:29:00+00:00,https://notion.so/3554061a75b781389f7af14316719c45
219,"Global Challenges Foundation",https://globalchallenges.org,"Think tank",Governance,"Policy development ; Outreach & Advocacy",,"Europe (excl. UK) ; Sweden ; Stockholm",yes,"Transversal > Information","The Global Challenges Foundation aims at raising awareness of global catastrophic risks, including pandemics, and strengthening global governance to address them.",2024-10-12T08:59:00+00:00,https://notion.so/2152df995e9d4e16a472fba5dfafbe41
110,"Global Health Policy Center at the Center for Strategic and International Studies (CSIS)",https://www.csis.org/programs/global-health-policy-center/topics/health-security,"Think tank",Governance,"Research ; Policy development ; Coordination","Dual-use research of concern ; Synthetic biology ; AI x Bio ; Biological weapons ; DNA synthesis ; Lab biosafety ; Therapeutics ; Vaccines ; Antimicrobial resistance ; Crisis management","USA ; Washington DC",no,Response,"The Center for Strategic and International Studies (CSIS) is a bipartisan, nonprofit policy research organization dedicated to advancing practical ideas to address the world’s greatest challenges. The CSIS Global Health Policy Center’s work on health and security provides an in-depth analysis of this emerging complex interface between proliferating security threats and extensive global health demands.",2024-04-19T08:00:00+00:00,https://notion.so/fa8c5210a8f94bbfa13bb3f7b8a52a89
214,"Global Health Security Network",https://ghsn.org,"International non-profit organization","Technical ; Governance","Coordination ; Policy development","Vaccines ; Crisis management",Global,no,"Response > Medical countermeasures","The Global Health Security Network (GHSN) Limited is a new multidisciplinary professional association dedicated to facilitating evidence-informed policy for the detection, prevention and control of infectious disease threats, irrespective of origin or source.",2024-10-12T08:34:00+00:00,https://notion.so/d076deb28e764455b91f20962456a7d2
255,"GMU Schar School of Policy and Government (SSPG) - Biodefense Program",https://schar.gmu.edu/biodefense-programs,"Research institute / lab / network",Governance,"Education & Career","Biological weapons","Arlington VA ; Remote ; USA",no,"Transversal > Information","The Schar School of Policy and Government's Biodefense Graduate Program at George Mason University was established in 2003 and offers both on-campus and online Master of Science degrees in Biodefense, a PhD in Biodefense, and graduate certificates in Biodefense, Global Health Security, and Science, Technology, and Security. The program educates the next generation of biodefense and global health security scholars and professionals to prevent, prepare for, and respond to large-scale threats to health security, such as pandemics, weapons of mass destruction, terrorism, and natural disasters. While also bridging the gap between scientists and policy-makers in each of these domains.",2024-11-29T06:11:00+00:00,https://notion.so/4b5aec0f2b9541df9af7c07b3127ceae
